"Company name"
"ASSOCIATION OF OLD CROWS"
"ATDI"
"BABCOCK INTERNATIONAL"
"Bartington Defence & Space ltd"
"Bohemia Interactive Simulations"
"Claytrix Technologies"
"Chemring Technology Solutions"
"Clarion Events"
"D-TA Systems"
"Dynamic C4 Pte Ltd"
"Elbit Systems "
"Heilind Asia Pacific "
"HENSOLDT"
"HITEK ELECTRONIC MATERIALS LTD"
"IMAGE SOFT OY"
"L3 TRL TECHNOLOGY"
"LEONARDO"
"MACGREGOR PTE LTD"
"NEXA TECHNOLOGY"
"NOJDHS UNDERWATER TECHNOLOGY PTE LTD"
"OFFICE OF NAVAL RESEARCH"
"PROCITEC GMBH"
"PROJECT: SYNTROPY"
"REISER SIMULATION AND TRAINING GMBH"
"SHEPHARD MEDIA"
"TEXTRON SYSTEMS"
"WARTSILA ELAC NAUTIK AND EUROATLAS"
