Slug,Start date,End date,Organiser,Exhibitor,Delegation,Website,Alias
asian-defense-security-2003,2003-09-25,2003-09-25,1,,,http://www.asiandefense.com,"Asian Defense Exhibition, Conference and Networking Event 2003"
asian-defense-security-2005,2005-11-02,2005-11-05,1,,,http://www.asiandefense.com,"Asian Defense Exhibition, Conference and Networking Event 2005"
asian-defense-security-2007,2007-11-07,2007-11-10,1,,,http://www.asiandefense.com,"Tri-Service Asian Defence And Internal Security Event For Land, Sea And Air 2007"
asian-defense-security-2009,2009-11-04,2009-11-07,1,,,http://www.asiandefense.com,"Tri-Service Asian Defence And Internal Security Event For Land, Sea And Air 2009"
asian-defense-security-2011,2011-11-02,2011-11-05,1,211,,http://www.asiandefense.com,"Tri-Service Asian Defence And Internal Security Event For Land, Sea And Air 2011"
asian-defense-security-2013,2013-11-04,2013-11-07,1,281,,http://www.asiandefense.com,"Tri-Service Asian Defence And Internal Security Event For Land, Sea And Air 2013"
asian-defense-security-2015,2015-11-02,2015-11-05,1,288,,http://www.asiandefense.com,"Tri-Service Asian Defence And Internal Security Event For Land, Sea And Air 2015"
asian-defense-security-2017,2017-11-06,2017-11-09,1,207,,http://www.asiandefense.com,"Tri-Service Asian Defense & Security Exhibition, Conference and Networking Event 2017"
asian-defense-security-2019,2019-11-18,2019-11-21,1,77,,http://www.asiandefense.com,"Tri-Service Asian Defense & Security Exhibition, Conference and Networking Event 2019"
asian-defense-security-2022,2022-08-08,2022-09-01,1,,,http://www.asiandefense.com,"Tri-Service Asian Defense & Security Exhibition, Conference and Networking Event 2022"
,,,,,,,
avalon-2009,2009-03-10,2009-03-15,2,,,https://www.airshow.com.au,Australian International Aerospace & Defence Exposition 2009
avalon-2011,2011-03-01,2011-03-06,2,,,https://www.airshow.com.au,Australian International Aerospace & Defence Exposition 2011
avalon-2013,2013-02-26,2013-03-01,2,599,,https://www.airshow.com.au,Australian International Aerospace & Defence Exposition 2013
avalon-2015,2015-02-24,2015-03-01,2,491,,https://www.airshow.com.au,Australian International Aerospace & Defence Exposition
avalon-2017,2017-02-28,2017-03-05,1,641,,https://www.airshow.com.au,
avalon-2019,2019-02-26,2019-03-03,,562,,https://www.airshow.com.au,
avalon-2023,2023-02-28,2023-03-05,1,,,https://www.airshow.com.au,Australian International Aerospace & Defence Exposition
,,,,,,,
bias-2010,2010-01-21,2010-01-23,,,,http://www.bahraininternationalairshow.com,Bahrain International Airshow 2010
bias-2012,2012-01-19,2012-01-21,,,,http://www.bahraininternationalairshow.com,Bahrain International Airshow 2012
bias-2014,2014-01-16,2014-01-18,3,42,,http://www.bahraininternationalairshow.com,Bahrain International Airshow 2014
bias-2016,2016-01-21,2016-01-23,3,123,,http://www.bahraininternationalairshow.com,Bahrain International Airshow 2016
bias-2018,2018-11-14,2018-11-16,3,123,,http://www.bahraininternationalairshow.com,Bahrain International Airshow 2018
bias-2022,2022-11-09,2022-11-11,3,,,http://www.bahraininternationalairshow.com,Bahrain International Airshow 2022
,,,,,,,
bidec-2017,2017-10-16,2017-10-18,1,182,,https://www.bahraindefence.com,Bahrain International Defence Exhibition & Conference 2017
bidec-2019,2019-10-28,2019-10-30,1,125,,https://www.bahraindefence.com,Bahrain International Defence Exhibition & Conference 2019
,,,,,,,
cansec-2005,2005-04-14,2005-04-15,1,155,,https://www.defenceandsecurity.ca,
cansec-2006,2006-04-05,2006-04-06,1,,,https://www.defenceandsecurity.ca,
cansec-2007,2007-04-11,2007-04-12,1,188,,http://www.defenceandsecurity.ca/cansec2007/,
cansec-2008,2008-04-09,2008-04-10,1,,,https://www.defenceandsecurity.ca,
cansec-2009,2009-05-27,2009-05-28,1,,,https://www.defenceandsecurity.ca,
cansec-2010,2010-06-02,2010-06-03,1,,,https://www.defenceandsecurity.ca/index.php?action=cms.goCansec,
cansec-2011,2011-06-01,2011-06-02,1,,,https://www.defenceandsecurity.ca/index.php?action=cansec2011.exhibitors,
cansec-2012,2012-05-30,2012-05-31,1,,,https://www.defenceandsecurity.ca/index.php?action=events.details&evtID=219,
cansec-2013,2013-05-29,2013-05-30,1,,,https://www.defenceandsecurity.ca,
cansec-2014,2014-05-28,2014-05-29,1,,,https://www.defenceandsecurity.ca/CANSEC/,
cansec-2015,2015-05-30,2015-05-31,1,332,,https://www.defenceandsecurity.ca/index.php?action=events.details&evtID=273,
cansec-2016,2016-05-25,2016-05-26,1,314,,https://www.defenceandsecurity.ca/CANSEC/,
cansec-2017,2017-05-31,2017-06-01,1,273,,https://www.defenceandsecurity.ca/CANSEC/,
cansec-2018,2018-05-30,2018-05-31,1,308,,https://www.defenceandsecurity.ca/CANSEC/,
cansec-2019,2019-05-29,2019-05-30,1,218,,https://www.defenceandsecurity.ca/CANSEC/,
cansec-2022,2022-06-01,2022-06-02,1,206,,https://www.defenceandsecurity.ca/CANSEC/,
,,,,,,,
ctx-2009,2009-02-10,2009-02-11,,,,http://www.counterterrorexpo.com,Counter Terror Expo 2009
ctx-2010,2010-04-14,2010-04-15,,,,https://www.counterterrorexpo.com/,Counter Terror Expo 2010
ctx-2011,2011-04-19,2011-04-20,,,,https://www.counterterrorexpo.com/,Counter Terror Expo 2011
ctx-2012,2012-04-25,2012-04-26,,389,,https://www.counterterrorexpo.com/,Counter Terror Expo 2012
ctx-2013,2013-04-24,2013-04-25,,288,,https://www.counterterrorexpo.com/,Counter Terror Expo 2013
ctx-2014,2014-04-29,2014-04-30,1,,,https://www.counterterrorexpo.com/,Counter Terror Expo 2014
ctx-2015,2015-04-21,2015-04-22,1,282,,https://www.counterterrorexpo.com/,Counter Terror Expo 2015
ctx-2016,2016-04-19,2016-04-20,1,255,,https://www.counterterrorexpo.com/,Counter Terror Expo 2016
ctx-2017,2017-05-03,2017-05-04,1,86,,https://www.counterterrorexpo.com/,Security & Counter Terror Expo 2017;SCTX 2017
ctx-2018,2018-03-06,2018-03-07,1,280,,https://www.counterterrorexpo.com/,Security & Counter Terror Expo 2018;SCTX 2018
ctx-2019,2019-03-05,2019-03-06,1,198,,https://www.counterterrorexpo.com/,Security & Counter Terror Expo 2019;SCTX 2019
ctx-2021,2021-09-14,2021-09-16,1,,,https://ctexpo.co.uk,Counter Terror Expo 2021
ctx-2022,2022-06-08,2022-06-09,1,,,https://ctexpo.co.uk,Counter Terror Expo 2022
,,,,,,,
defexpo-india-2010,2010-02-15,2010-02-18,1,453,,http://defexpoindia.in,"Land, Naval & Internal Security Systems Exhibition"
defexpo-india-2012,2012-03-29,2012-04-01,1,,13,http://defexpoindia.in,"Land, Naval & Internal Security Systems Exhibition"
defexpo-india-2014,2014-02-06,2014-02-09,1,,38,http://defexpoindia.in,"Land, Naval & Internal Homeland Security Systems Exhibition"
defexpo-india-2016,2016-03-28,2016-03-31,1,1038,,http://defexpoindia.in,"Land, Naval & Internal Homeland Security Systems Exhibition"
defexpo-india-2018,2018-04-11,2018-04-14,1,412,,http://www.defexpoindia.in,"Land, Naval & Internal Homeland Security Systems Exhibition"
defexpo-india-2020,2020-02-05,2020-02-09,1,1028,,https://defexpo.gov.in,
defexpo-india-2022,2022-03-10,2022-03-13,1,421,,https://defexpo.gov.in,
,,,,,,,
dimdex-2008,2008-03-17,2008-03-19,3,,,http://www.dimdex.com,Doha International Maritime Defence Exhibition and Conference 2008
dimdex-2010,2010-03-29,2010-03-31,3,,,http://www.dimdex.com,Doha International Maritime Defence Exhibition and Conference 2010
dimdex-2012,2012-03-26,2012-03-28,2,163,,http://www.dimdex.com,Doha International Maritime Defence Exhibition and Conference 2012
dimdex-2014,2014-03-25,2014-03-27,2,178,,http://www.dimdex.com,Doha International Maritime Defence Exhibition and Conference 2014
dimdex-2016,2016-03-29,2016-03-31,1,143,50,http://www.dimdex.com,Doha International Maritime Defence Exhibition and Conference 2016
dimdex-2018,2018-03-12,2018-03-14,1,146,,http://www.dimdex.com,Doha International Maritime Defence Exhibition and Conference 2018
dimdex-2022,2022-03-21,2022-03-23,1,154,83,http://www.dimdex.com,Doha International Maritime Defence Exhibition and Conference 2022
,,,,,,,
dprte-2013,2013-11-20,2013-11-20,1,99,,http://www.dprte.co.uk,"Defence Procurement, Research, Technology & Exportability 2013"
